cc,bw_mbit,delay_ms,buf_pkt,throughput_mbps,sender_mbps,retransmits,mean_rtt_ms,min_rtt_ms,max_rtt_ms,utilization
bbr,10,5,10,9.398892040324741,9.40212804325819,0,14.97,10.642,22.571,0.9398892040324741
bbr,10,5,100,9.39714447912197,9.402142146316276,0,14.938,10.529,21.173,0.9397144479121969
bbr,10,5,1000,9.39897785383293,9.437094033036885,0,14.569,10.473,21.867,0.939897785383293
bbr,10,20,10,9.42447038944464,9.367169337452086,0,43.608,40.058,46.133,0.9424470389444639
bbr,10,20,100,9.423470651392407,9.50700286984065,0,49.688,40.058,82.07,0.9423470651392407
bbr,10,20,1000,9.389551190768573,9.40211864124297,0,47.304,40.058,70.95,0.9389551190768574
bbr,10,80,10,1.9469262654294146,1.9573190312779682,0,160.069,160.059,160.149,0.19469262654294145
bbr,10,80,100,9.317445198850297,9.367181826881728,0,188.978,160.056,301.114,0.9317445198850297
bbr,10,80,1000,9.320130437641483,9.332223123397434,0,189.994,160.058,303.519,0.9320130437641483
bbr,50,5,10,28.161967786380277,28.171474237661407,1087,10.091,10.054,10.507,0.5632393557276055
bbr,50,5,100,46.855077555236896,46.83592942976766,0,11.447,10.112,23.801,0.9371015511047379
bbr,50,5,1000,46.851023226124504,46.835876349635065,0,12.105,10.135,23.693,0.9370204645224901
bbr,50,20,10,8.655187783739166,8.773012465795704,0,40.089,40.058,40.339,0.1731037556747833
bbr,50,20,100,45.270720694930624,45.57758995915313,58,40.466,40.128,44.633,0.9054144138986124
bbr,50,20,1000,46.563906664092805,46.6262085419604,0,41.826,40.108,66.209,0.931278133281856
bbr,50,80,10,2.19019189063848,2.2019792860851615,0,160.084,160.062,160.333,0.0438038378127696
bbr,50,80,100,24.023701756587638,23.87234711340986,2276,160.185,160.056,161.927,0.48047403513175274
bbr,50,80,1000,46.3786403144463,46.381563378220676,47,190.508,160.07,323.086,0.927572806288926
bbr,100,5,10,27.819837005316398,27.89185848680161,1055,10.117,10.054,10.784,0.278198370053164
bbr,100,5,100,93.35937486832613,93.39120716884639,402,11.049,10.285,16.744,0.9335937486832613
bbr,100,5,1000,94.05811112696833,93.95086880575158,0,11.767,10.207,22.4,0.9405811112696832
bbr,100,20,10,8.853876772554964,8.7380561471707,0,40.068,40.043,40.225,0.08853876772554964
bbr,100,20,100,48.72784998310949,48.6532939071792,90,40.182,40.147,40.496,0.48727849983109495
bbr,100,20,1000,93.4769770104321,93.67195877529886,0,43.458,40.325,68.034,0.9347697701043209
bbr,100,80,10,1.8493950520126092,1.9223583833633613,0,160.129,160.072,161.258,0.018493950520126094
bbr,100,80,100,24.023698570469843,24.18687249894568,2330,160.22,160.05,161.381,0.24023698570469842
bbr,100,80,1000,89.2105257469057,89.0585176136104,1253,165.919,160.085,201.836,0.892105257469057
cubic,10,5,10,9.535766429971316,9.576884956844825,0,24.73,20.614,28.867,0.9535766429971316
cubic,10,5,100,9.536456080334736,9.82160031797134,0,203.986,106.985,237.406,0.9536456080334735
cubic,10,5,1000,9.550202412620246,9.996348894293366,0,1182.489,107.0,2119.766,0.9550202412620246
cubic,10,20,10,5.898959677443783,5.871901311422242,0,41.142,40.341,42.269,0.5898959677443784
cubic,10,20,100,9.572190803363961,9.716672119925835,0,214.614,141.484,244.697,0.9572190803363961
cubic,10,20,1000,9.55971792815135,10.171079386558503,0,1218.052,141.486,2203.961,0.955971792815135
cubic,10,80,10,1.3211213097539183,1.36312521793373,0,164.602,160.2,174.376,0.13211213097539182
cubic,10,80,100,9.57610909036403,9.402145280334931,0,246.146,168.258,308.901,0.957610909036403
cubic,10,80,1000,9.55985146482595,9.472064545642786,0,1313.143,226.91,2220.37,0.955985146482595
cubic,50,5,10,19.322084170225132,19.32860210309714,11,10.308,10.07,10.914,0.38644168340450263
cubic,50,5,100,47.8147308619572,47.779730828820036,8,25.117,21.269,29.088,0.956294617239144
cubic,50,5,1000,47.81190841915834,48.26904790023576,52,204.332,60.249,247.632,0.9562381683831669
cubic,50,20,10,4.642427084652389,4.64863533348113,0,40.629,40.092,42.701,0.09284854169304778
cubic,50,20,100,44.74863266575834,44.84365780924295,5,41.344,40.174,43.858,0.8949726533151668
cubic,50,20,1000,47.82197724799516,47.814553984272365,55,219.582,93.217,263.518,0.9564395449599031
cubic,50,80,10,1.2516024695225423,1.258283650298098,0,164.859,160.174,173.729,0.025032049390450846
cubic,50,80,100,14.010895827580784,13.980847427277196,0,160.545,160.064,171.415,0.28021791655161565
cubic,50,80,1000,47.63444814306897,47.60486165675366,77,275.208,179.062,323.276,0.9526889628613795
cubic,100,5,10,18.457538697415774,18.55964301092731,0,10.254,10.07,10.758,0.18457538697415773
cubic,100,5,100,95.64652522402133,95.6987028647401,32,14.304,11.739,16.873,0.9564652522402133
cubic,100,5,1000,95.63163789474523,95.73389424247583,70,107.305,59.039,125.805,0.9563163789474523
cubic,100,20,10,4.747142220858136,4.7534936709510545,0,40.788,40.1,44.317,0.04747142220858137
cubic,100,20,100,25.89988309418167,25.864615158361246,11,40.118,40.06,40.835,0.2589988309418167
cubic,100,20,1000,95.6382312357627,95.38443967368083,78,120.82,91.273,140.894,0.956382312357627
cubic,100,80,10,1.2863627645121636,1.2932287749871694,0,162.341,160.071,168.964,0.012863627645121636
cubic,100,80,100,13.732791675197422,13.771150782019966,2,161.278,160.061,170.285,0.13732791675197423
cubic,100,80,1000,78.98885184334313,79.34146783085073,50,163.401,160.259,197.833,0.7898885184334312
reno,10,5,10,9.53691963835956,9.57690474888901,0,22.558,16.65,28.726,0.953691963835956
reno,10,5,100,9.548358418939895,9.576891022139995,0,181.246,119.565,244.646,0.9548358418939895
reno,10,5,1000,9.548919887488294,9.57689134136627,0,856.264,497.123,1495.695,0.9548919887488294
reno,10,20,10,7.749032460609102,7.759396186485875,0,41.15,40.218,45.849,0.7749032460609102
reno,10,20,100,9.558576355585256,9.68175556122809,0,184.681,94.183,262.824,0.9558576355585255
reno,10,20,1000,9.565500318925915,9.541944272168424,6,798.703,461.142,1460.495,0.9565500318925915
reno,10,80,10,1.1125295527399657,1.1184678687458154,0,163.879,160.354,175.516,0.11125295527399656
reno,10,80,100,9.54744789079725,9.40212992366349,0,246.334,167.187,312.484,0.9547447890797249
reno,10,80,1000,9.552490205572349,9.926422187729226,1,834.296,226.438,1457.063,0.9552490205572349
reno,50,5,10,18.238904443500772,18.210097477743876,99,10.307,10.085,10.716,0.36477808887001545
reno,50,5,100,47.805383839954764,47.8495890820179,11,22.827,14.901,29.732,0.9561076767990953
reno,50,5,1000,47.82132482755491,47.88447586041612,2,150.474,123.574,201.164,0.9564264965510982
reno,50,20,10,4.153746539544423,4.12435658993901,0,40.917,40.137,43.512,0.08307493079088847
reno,50,20,100,38.6752173059268,38.8318658595105,2,40.695,40.117,44.726,0.773504346118536
reno,50,20,1000,48.16019288382668,48.26903020173825,6,157.138,131.778,216.887,0.9632038576765336
reno,50,80,10,1.2515954148496373,1.2582793302316515,0,162.213,160.126,167.17,0.025031908296992745
reno,50,80,100,11.055763896611467,11.044887875477006,0,161.153,160.082,171.665,0.22111527793222932
reno,50,80,1000,47.67027534293285,47.77958430593368,903,185.146,163.493,272.156,0.9534055068586569
